Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,City,Pickup Location,Drop Location,Fare (INR)
6/25/2025,12:00:51,be09ad20-1048-4d52-b2b3-2cb3aec12bd9,Ongoing,1887efac-cbe3-422b-b154-97bbf86a1eba,Auto,Ahmedabad,Viswanathan Marg,Iyengar Ganj,675.56
6/20/2025,1:09:13,5076e372-2770-4f3e-9eb8-65eb83dafccc,Completed,ac2f1ddd-fb1f-4e6f-864d-413d639926b8,Prime Sedan,Lucknow,Dhingra Street,Kohli Road,969.37
7/4/2025,13:45:18,bc126a53-9ff2-493b-8878-dece53ce4b7e,Completed,78ab7ccc-88a9-4dbd-b35e-27003b9294c8,Auto,Lucknow,Korpal Circle,Tata Ganj,1252.8
7/4/2025,9:58:27,de335f63-6a3f-433c-b24d-c44c562aef84,Ongoing,e9ba564a-ac2a-4e71-8937-3e0a0c6ac4e9,Prime Sedan,Bangalore,Cheema Path,Manda Street,337.5
7/15/2025,3:27:21,0b8cbb32-3269-455f-8dfd-06d2d642204a,Cancelled,f6decec4-7cb9-47ef-9a50-13601ff31304,eBike,Lucknow,Kara Path,Loyal Circle,353.01
6/8/2025,8:47:01,9faf5f39-757b-4432-a2ee-22a6f94908d1,Completed,200bfffd-d020-4b1c-9a3e-d3c7c8c78f88,eBike,Pune,Shere Road,Solanki Path,389.99
7/3/2025,16:38:28,c744f524-7185-4b73-9cd8-09e0f6bbf882,Completed,4867a8f1-607c-4a41-aedd-d6ec0b364c2d,Auto,Mumbai,Chaudhari,Desai,296.73
6/7/2025,17:27:50,6b4155c7-af20-41dd-90d2-599ef8d21d49,Completed,1097e908-339e-4343-a7f2-18bb8bacace4,Mini,Hyderabad,Ramachandran Nagar,Jha Nagar,904.87
7/18/2025,3:01:35,105accf5-3042-43eb-8dde-ed8f4e52a4fb,Ongoing,2d3693a6-9c63-456c-823d-c8fa8dc59544,Prime Sedan,Delhi,Kaur Zila,Kumar Marg,859.38
7/9/2025,18:30:36,33689963-22b5-4533-a37e-5de58b92f5ce,Completed,839de106-57d1-45c7-852e-332e87c2dd03,Bike,Jaipur,Rama Zila,Barman Street,563.72
6/7/2025,10:20:58,462e258e-b156-4ddd-b53f-baae59ca7c2b,Ongoing,7ba9f187-4411-40ff-a935-4b0fc030cd80,Auto,Bangalore,Yohannan Path,Butala Nagar,569.05
8/3/2025,19:37:48,cebd9329-f2a5-48cf-bb9d-6d2e5592e041,Ongoing,65a254d8-b124-45c6-b50e-5a98cda70b78,Prime SUV,Hyderabad,Sarma Circle,Hayer Chowk,945.39
7/10/2025,14:41:45,c5690cad-c03e-4f4d-8a9f-415a5e128837,Ongoing,4335afa7-51d6-468f-b13a-216b6c0c0f6f,Prime Sedan,Pune,Bhandari Road,Wagle Path,132.88
7/1/2025,1:26:51,0653d89e-3b21-42c5-b946-0f26c2881997,Completed,9c79ac24-2fff-4c1a-9be0-2896606af840,Prime Plus,Delhi,Arya Circle,Kibe Chowk,543.43
6/14/2025,11:40:47,98420340-b4a9-4fd4-9452-6d1f8ae0a026,Ongoing,5b977180-03b8-4ea9-bfea-43a684ec7064,Auto,Hyderabad,Shukla Nagar,Soni Nagar,1088.8
7/19/2025,18:29:45,0c16fbee-e64f-4886-a065-e508b1eee832,Cancelled,b33f879a-8c3d-4494-b2a6-bafbc0bccd6d,Auto,Jaipur,Hari Road,Manne Road,1014.99
7/28/2025,21:29:46,72fe699f-df80-4024-8c44-09a6b3023e0c,Completed,b2ed3339-33a0-4efd-83c9-cf1b14b1d26b,Mini,Hyderabad,Lata Ganj,Sethi Marg,1442.05
7/25/2025,8:14:33,79db0382-646e-4c5e-9231-7f6b427bafd6,Completed,f13e86ab-a7a9-4506-875f-15d218d2645e,Prime SUV,Kolkata,Guha Street,Khosla Marg,448.66
8/2/2025,9:05:58,ae32adc5-88f0-43a5-8975-8c72563b2939,Completed,028612e9-3a3f-49f3-9434-e9f2693b38d5,eBike,Kolkata,Kapur Zila,Mander Road,1330.96
7/23/2025,19:25:57,a350a472-21c4-432c-abc4-3abaec2a40f3,Completed,096deb3a-f655-4d01-afa5-adc63d9b80d2,eBike,Mumbai,Kalla,Raman Chowk,533.64
7/9/2025,8:23:41,85f4b070-d6f7-4f03-b651-46b55f9151bd,Completed,75fb87ef-4cae-487c-9a33-6db47828abce,Mini,Mumbai,Kaul Marg,Sha Circle,780.01
6/25/2025,23:24:25,91f24dd3-84fd-4334-84c9-b3d7164ccdef,Ongoing,79fc1c56-e3db-4a10-93b4-80744b492d41,Mini,Ahmedabad,Magar,Solanki Street,1187.36
7/18/2025,21:27:29,213c1a8c-8be4-4628-b310-e6bcfafe490b,Ongoing,f095a251-d58b-4aa4-90fa-22e41dad632a,eBike,Hyderabad,Srinivas Ganj,Gandhi Marg,1116.1
6/8/2025,14:05:51,a7cd8043-7458-4ec9-8a3b-1f5c52d2b2e9,Completed,91f70601-1db2-4a1d-b901-92fae71d64de,Prime Sedan,Delhi,Wagle Path,Koshy Road,819.09
7/5/2025,13:01:39,47fd4de5-1868-4054-aaf2-ef4d7ecbb9f4,Ongoing,0edc99df-d56c-46a6-ab9c-9a899f607fb8,Bike,Chennai,Kumer Chowk,Varty Zila,1252.84
7/20/2025,19:12:34,701a2aa4-1b65-4c62-95b7-966a66fb6395,Completed,7d52bcdd-840d-4360-8f0e-bdb1d72a9f2c,eBike,Mumbai,Cherian Ganj,Varma Ganj,835.15
